Ident;OrdTerm;FoundIn;IcdResult;Term;FilterIn;FilterOut;TermCodif;TermNoBlank
11164;Term1;ResultStandard2;;3 CUP1;NA;NA;3558;3727
11160;Term1;Diccionario;;EMBARAZO 38SG MAS CUP2;NA;NA;3558;3728
11160;Term1;AplicaStandard0;;EMBARAZO 38SG MAS CUP2;\bE[MN][BV]?[AO]RA[ZS]O\b;EMBARAZO;3558;3728
11160;Term1;AplicaStandard0;;EMBARAZO MAS CUP2;\s?(DE)?\s?[0-9]?[0-9]\s?S(EMANA(S)?)?\s?(DE)?\s?G(ESTACION)?;;3558;3728
11160;Term1;ResultStandard0;;EMBARAZO MAS CUP2;NA;NA;3558;3728
11160;Term1;AplicaStandard1;;EMBARAZO CUP2;\b\sEL\s|\sLAS?\s|\sLO(S)?\s|\sUN[AO]?S?\s|\sMAS\s\b; ;3558;3728
11160;Term1;ResultStandard1;;EMBARAZO CUP2;NA;NA;3558;3728
11160;Term1;AplicaStandard2;;CUP2;\s?EMB(ARAZO)?)?\s?(DE|A|AL)?\s?(TERMINO)?\s?;;3558;3728
11160;Term1;ResultStandard2;;CUP2;NA;NA;3558;3728
9957;Term1;Diccionario;;EMBARAZO 39 SEMANAS CESAREA ELECTIVA;NA;NA;3558;3729
9957;Term1;AplicaStandard0;;EMBARAZO 39 SEMANAS CESAREA ELECTIVA;\b(CE[SZ]A?R[EI]A(DA)?)\b;CESAREA;3558;3729
9957;Term1;AplicaStandard0;;EMBARAZO 39 SEMANAS CESAREA ELECTIVA;\bE[MN][BV]?[AO]RA[ZS]O\b;EMBARAZO;3558;3729
9957;Term1;ResultStandard0;;EMBARAZO 39 SEMANAS CESAREA ELECTIVA;NA;NA;3558;3729
9957;Term1;ResultStandard1;;EMBARAZO 39 SEMANAS CESAREA ELECTIVA;NA;NA;3558;3729
9957;Term1;AplicaStandard2;;EMBARAZOCESAREA ELECTIVA;\s?(DE)?\s?[0-9]?[0-9]\s?S(EM(ANA)?S?)?\s?(DE)?\s?G?(EST(ACION)?)?\s?;;3558;3729
9957;Term1;AplicaStandard2;;CESAREA ELECTIVA;\s?EMB(ARAZO)?)?\s?(DE|A|AL)?\s?(TERMINO)?\s?;;3558;3729
9957;Term1;AplicaStandard2;;PARTO POR CESAREA ELECTIVA;\bCESAR[IE]A\s?(ANTERIOR|ELECTIVA|ITERAC?TIVA)\b;PARTO POR CESAREA ELECTIVA;3558;3729
9957;Term1;ResultStandard2;O820;PARTO POR CESAREA ELECTIVA;NA;NA;3559;3729
9954;Term1;Diccionario;;EMBARAZO 39 SEMANAS DESPROPORCION CEFALOPELVICA LABOR INCIAL DE PARTO;NA;NA;3559;3730
9954;Term1;AplicaStandard0;;EMBARAZO 39 SEMANAS DESPROPORCION CEFALOPELVICA LABOR INCIAL DE PARTO;\bE[MN][BV]?[AO]RA[ZS]O\b;EMBARAZO;3559;3730
9954;Term1;AplicaStandard0;;EMBARAZO 39 SEMANAS DESPROPORCION CEFALOPELVICA LABOR INCIAL DE PARTO;\bDES?P(RO|OR)P(OR|I)[CS]ION\b;DESPROPORCION;3559;3730
9954;Term1;ResultStandard0;;EMBARAZO 39 SEMANAS DESPROPORCION CEFALOPELVICA LABOR INCIAL DE PARTO;NA;NA;3559;3730
9954;Term1;AplicaStandard1;;EMBARAZO 39 SEMANAS DESPROPORCION CEFALOPELVICA LABOR INCIAL PARTO;\b\sANTE\s|\sCABE\s|\sDE\sDE\s|\sDE\s|\sDESDE\s|\sDURANTE\s|\sENTRE\s|\sHACIA\s|\sHASTA\s|\sMEDIANTE\s|\sPARA\s|\sSEGUN\s|\sSO\s|\sSOBRE\s|\sTRAS\s|\sVERSUS\s\b; ;3559;3730
9954;Term1;ResultStandard1;;EMBARAZO 39 SEMANAS DESPROPORCION CEFALOPELVICA LABOR INCIAL PARTO;NA;NA;3559;3730
9954;Term1;AplicaStandard2;;EMBARAZOSPROPORCION CEFALOPELVICA LABOR INCIAL PARTO;\s?(DE)?\s?[0-9]?[0-9]\s?S(EM(ANA)?S?)?\s?(DE)?\s?G?(EST(ACION)?)?\s?;;3559;3730
9954;Term1;AplicaStandard2;;SPROPORCION CEFALOPELVICA LABOR INCIAL PARTO;\s?EMB(ARAZO)?)?\s?(DE|A|AL)?\s?(TERMINO)?\s?;;3559;3730
9954;Term1;ResultStandard2;;SPROPORCION CEFALOPELVICA LABOR INCIAL PARTO;NA;NA;3559;3730
9960;Term1;Diccionario;;EMBARAZO 39 SEMANASEXPULSIVO PROLONGADO;NA;NA;3559;3731
9960;Term1;AplicaStandard0;;EMBARAZO 39 SEMANASEXPULSIVO PROLONGADO;\bE[MN][BV]?[AO]RA[ZS]O\b;EMBARAZO;3559;3731
9960;Term1;ResultStandard0;;EMBARAZO 39 SEMANASEXPULSIVO PROLONGADO;NA;NA;3559;3731
9960;Term1;ResultStandard1;;EMBARAZO 39 SEMANASEXPULSIVO PROLONGADO;NA;NA;3559;3731
9960;Term1;AplicaStandard2;;EMBARAZOEXPULSIVO PROLONGADO;\s?(DE)?\s?[0-9]?[0-9]\s?S(EM(ANA)?S?)?\s?(DE)?\s?G?(EST(ACION)?)?\s?;;3559;3731
9960;Term1;AplicaStandard2;;EXPULSIVO PROLONGADO;\s?EMB(ARAZO)?)?\s?(DE|A|AL)?\s?(TERMINO)?\s?;;3559;3731
9960;Term1;ResultStandard2;P038;EXPULSIVO PROLONGADO;NA;NA;3560;3731
9958;Term1;Diccionario;;EMBARAZO 40 SEMANAS CESAREA ANTERIOR;NA;NA;3560;3732
9958;Term1;AplicaStandard0;;EMBARAZO 40 SEMANAS CESAREA ANTERIOR;\b(CE[SZ]A?R[EI]A(DA)?)\b;CESAREA;3560;3732
9958;Term1;AplicaStandard0;;EMBARAZO 40 SEMANAS CESAREA ANTERIOR;\bE[MN][BV]?[AO]RA[ZS]O\b;EMBARAZO;3560;3732
9958;Term1;ResultStandard0;;EMBARAZO 40 SEMANAS CESAREA ANTERIOR;NA;NA;3560;3732
9958;Term1;ResultStandard1;;EMBARAZO 40 SEMANAS CESAREA ANTERIOR;NA;NA;3560;3732
9958;Term1;AplicaStandard2;;EMBARAZOCESAREA ANTERIOR;\s?(DE)?\s?[0-9]?[0-9]\s?S(EM(ANA)?S?)?\s?(DE)?\s?G?(EST(ACION)?)?\s?;;3560;3732
9958;Term1;AplicaStandard2;;CESAREA ANTERIOR;\s?EMB(ARAZO)?)?\s?(DE|A|AL)?\s?(TERMINO)?\s?;;3560;3732
9958;Term1;AplicaStandard2;;PARTO POR CESAREA ELECTIVA;\bCESAR[IE]A\s?(ANTERIOR|ELECTIVA|ITERAC?TIVA)\b;PARTO POR CESAREA ELECTIVA;3560;3732
9958;Term1;ResultStandard2;O820;PARTO POR CESAREA ELECTIVA;NA;NA;3561;3732
9955;Term1;Diccionario;;EMBARAZO 40 SEMANAS RUPTURA DE MEMBRANAS;NA;NA;3561;3733
9955;Term1;AplicaStandard0;;EMBARAZO 40 SEMANAS RUPTURA DE MEMBRANAS;\bE[MN][BV]?[AO]RA[ZS]O\b;EMBARAZO;3561;3733
9955;Term1;ResultStandard0;;EMBARAZO 40 SEMANAS RUPTURA DE MEMBRANAS;NA;NA;3561;3733
9955;Term1;AplicaStandard1;;EMBARAZO 40 SEMANAS RUPTURA MEMBRANAS;\b\sANTE\s|\sCABE\s|\sDE\sDE\s|\sDE\s|\sDESDE\s|\sDURANTE\s|\sENTRE\s|\sHACIA\s|\sHASTA\s|\sMEDIANTE\s|\sPARA\s|\sSEGUN\s|\sSO\s|\sSOBRE\s|\sTRAS\s|\sVERSUS\s\b; ;3561;3733
9955;Term1;ResultStandard1;;EMBARAZO 40 SEMANAS RUPTURA MEMBRANAS;NA;NA;3561;3733
9955;Term1;AplicaStandard2;;EMBARAZORUPTURA MEMBRANAS;\s?(DE)?\s?[0-9]?[0-9]\s?S(EM(ANA)?S?)?\s?(DE)?\s?G?(EST(ACION)?)?\s?;;3561;3733
9955;Term1;AplicaStandard2;;RUPTURA MRANAS;\s?EMB(ARAZO)?)?\s?(DE|A|AL)?\s?(TERMINO)?\s?;;3561;3733
9955;Term1;ResultStandard2;;RUPTURA MRANAS;NA;NA;3561;3733
9244;Term1;Diccionario;;EMBARAZO A TERMINO;NA;NA;3561;3734
9244;Term1;AplicaStandard0;;EMBARAZO A TERMINO;\bE[MN][BV]?[AO]RA[ZS]O\b;EMBARAZO;3561;3734
9244;Term1;ResultStandard0;;EMBARAZO A TERMINO;NA;NA;3561;3734
9244;Term1;AplicaStandard1;;EMBARAZO TERMINO;\b\sA\s\b; ;3561;3734
9244;Term1;ResultStandard1;Z33;EMBARAZO TERMINO;NA;NA;3562;3734
9245;Term1;Duplicado;Z33;EMBARAZO A TERMINO;NA;NA;3563;3735
9247;Term1;Duplicado;Z33;EMBARAZO A TERMINO;NA;NA;3564;3736
9251;Term1;Duplicado;Z33;EMBARAZO A TERMINO;NA;NA;3565;3737
12344;Term1;Duplicado;Z33;EMBARAZO A TERMINO;NA;NA;3566;3738
12350;Term1;Duplicado;Z33;EMBARAZO A TERMINO;NA;NA;3567;3739
12353;Term1;Duplicado;Z33;EMBARAZO A TERMINO;NA;NA;3568;3740
12358;Term1;Duplicado;Z33;EMBARAZO A TERMINO;NA;NA;3569;3741
12360;Term1;Duplicado;Z33;EMBARAZO A TERMINO;NA;NA;3570;3742
12361;Term1;Duplicado;Z33;EMBARAZO A TERMINO;NA;NA;3571;3743
12370;Term1;Duplicado;Z33;EMBARAZO A TERMINO;NA;NA;3572;3744
12374;Term1;Duplicado;Z33;EMBARAZO A TERMINO;NA;NA;3573;3745
12385;Term1;Duplicado;Z33;EMBARAZO A TERMINO;NA;NA;3574;3746
12387;Term1;Duplicado;Z33;EMBARAZO A TERMINO;NA;NA;3575;3747
12389;Term1;Duplicado;Z33;EMBARAZO A TERMINO;NA;NA;3576;3748
12392;Term1;Duplicado;Z33;EMBARAZO A TERMINO;NA;NA;3577;3749
11147;Term1;Diccionario;;EMBARAZO A TERMINO CESAREA UTERINA PREVIA 1;NA;NA;3577;3750
11147;Term1;AplicaStandard0;;EMBARAZO A TERMINO CESAREA UTERINA PREVIA 1;\b(CE[SZ]A?R[EI]A(DA)?)\b;CESAREA;3577;3750
11147;Term1;AplicaStandard0;;EMBARAZO A TERMINO CESAREA UTERINA PREVIA 1;\bE[MN][BV]?[AO]RA[ZS]O\b;EMBARAZO;3577;3750
11147;Term1;ResultStandard0;;EMBARAZO A TERMINO CESAREA UTERINA PREVIA 1;NA;NA;3577;3750
11147;Term1;AplicaStandard1;;EMBARAZO TERMINO CESAREA UTERINA PREVIA 1;\b\sA\s\b; ;3577;3750
11147;Term1;ResultStandard1;;EMBARAZO TERMINO CESAREA UTERINA PREVIA 1;NA;NA;3577;3750
11147;Term1;AplicaStandard2;;CESAREA UTERINA PREVIA 1;\s?EMB(ARAZO)?)?\s?(DE|A|AL)?\s?(TERMINO)?\s?;;3577;3750
11147;Term1;ResultStandard2;;CESAREA UTERINA PREVIA 1;NA;NA;3577;3750
11121;Term1;Diccionario;;EMBARAZO A TERMINO CESAREA UTERINA PREVIA 1 OLIGOHIDRAMNIOS SEVERO;NA;NA;3577;3751
11121;Term1;AplicaStandard0;;EMBARAZO A TERMINO CESAREA UTERINA PREVIA 1 OLIGOHIDRAMNIOS SEVERO;\b(CE[SZ]A?R[EI]A(DA)?)\b;CESAREA;3577;3751
11121;Term1;AplicaStandard0;;EMBARAZO A TERMINO CESAREA UTERINA PREVIA 1 OLIGOHIDRAMNIOS SEVERO;\bE[MN][BV]?[AO]RA[ZS]O\b;EMBARAZO;3577;3751
11121;Term1;AplicaStandard0;;EMBARAZO A TERMINO CESAREA UTERINA PREVIA 1 OLIGOHIDRAMNIOS SEVERO;\bA?OLIGO(HI[DF]R)?AMNIOS\b;OLIGOHIDRAMNIOS;3577;3751
11121;Term1;AplicaStandard0;;EMBARAZO A TERMINO CESAREA UTERINA PREVIA 1 OLIGOHIDRAMNIOS SEVERO;\bOLIGOH?IDRAMN?IO?S\b;OLIGOHIDRAMNIOS;3577;3751
11121;Term1;AplicaStandard0;;EMBARAZO A TERMINO CESAREA UTERINA PREVIA 1 OLIGOHIDRAMNIOS SEVERO;\bOLIGO(HIDR)?A(MN|M|N)IOS?\b;OLIGOHIDRAMNIOS;3577;3751
11121;Term1;ResultStandard0;;EMBARAZO A TERMINO CESAREA UTERINA PREVIA 1 OLIGOHIDRAMNIOS SEVERO;NA;NA;3577;3751
11121;Term1;AplicaStandard1;;EMBARAZO TERMINO CESAREA UTERINA PREVIA 1 OLIGOHIDRAMNIOS SEVERO;\b\sA\s\b; ;3577;3751
11121;Term1;ResultStandard1;;EMBARAZO TERMINO CESAREA UTERINA PREVIA 1 OLIGOHIDRAMNIOS SEVERO;NA;NA;3577;3751
11121;Term1;AplicaStandard2;;EMBARAZO TERMINO CESAREA UTERINA PREVIA 1 OLIGOHIDRAMNIOS;\b([SC]EVER)[AO]S?\b;;3577;3751
11121;Term1;AplicaStandard2;;CESAREA UTERINA PREVIA 1 OLIGOHIDRAMNIOS;\s?EMB(ARAZO)?)?\s?(DE|A|AL)?\s?(TERMINO)?\s?;;3577;3751
11121;Term1;ResultStandard2;;CESAREA UTERINA PREVIA 1 OLIGOHIDRAMNIOS;NA;NA;3577;3751
11114;Term1;Diccionario;;EMBARAZO A TERMINO CESAREA UTERINA PREVIA 1 PARIDAD SATISFECHA;NA;NA;3577;3752
11114;Term1;AplicaStandard0;;EMBARAZO A TERMINO CESAREA UTERINA PREVIA 1 PARIDAD SATISFECHA;\b(CE[SZ]A?R[EI]A(DA)?)\b;CESAREA;3577;3752
11114;Term1;AplicaStandard0;;EMBARAZO A TERMINO CESAREA UTERINA PREVIA 1 PARIDAD SATISFECHA;\bE[MN][BV]?[AO]RA[ZS]O\b;EMBARAZO;3577;3752
11114;Term1;ResultStandard0;;EMBARAZO A TERMINO CESAREA UTERINA PREVIA 1 PARIDAD SATISFECHA;NA;NA;3577;3752
11114;Term1;AplicaStandard1;;EMBARAZO TERMINO CESAREA UTERINA PREVIA 1 PARIDAD SATISFECHA;\b\sA\s\b; ;3577;3752
11114;Term1;ResultStandard1;;EMBARAZO TERMINO CESAREA UTERINA PREVIA 1 PARIDAD SATISFECHA;NA;NA;3577;3752
11114;Term1;AplicaStandard2;;CESAREA UTERINA PREVIA 1 PARIDAD SATISFECHA;\s?EMB(ARAZO)?)?\s?(DE|A|AL)?\s?(TERMINO)?\s?;;3577;3752
11114;Term1;ResultStandard2;;CESAREA UTERINA PREVIA 1 PARIDAD SATISFECHA;NA;NA;3577;3752
11142;Term1;Diccionario;;EMBARAZO A TERMINO CESAREA UTERINA PREVIA 2;NA;NA;3577;3753
11142;Term1;AplicaStandard0;;EMBARAZO A TERMINO CESAREA UTERINA PREVIA 2;\b(CE[SZ]A?R[EI]A(DA)?)\b;CESAREA;3577;3753
11142;Term1;AplicaStandard0;;EMBARAZO A TERMINO CESAREA UTERINA PREVIA 2;\bE[MN][BV]?[AO]RA[ZS]O\b;EMBARAZO;3577;3753
11142;Term1;ResultStandard0;;EMBARAZO A TERMINO CESAREA UTERINA PREVIA 2;NA;NA;3577;3753
11142;Term1;AplicaStandard1;;EMBARAZO TERMINO CESAREA UTERINA PREVIA 2;\b\sA\s\b; ;3577;3753
11142;Term1;ResultStandard1;;EMBARAZO TERMINO CESAREA UTERINA PREVIA 2;NA;NA;3577;3753
11142;Term1;AplicaStandard2;;CESAREA UTERINA PREVIA 2;\s?EMB(ARAZO)?)?\s?(DE|A|AL)?\s?(TERMINO)?\s?;;3577;3753
11142;Term1;ResultStandard2;;CESAREA UTERINA PREVIA 2;NA;NA;3577;3753
11149;Term1;Duplicado;;EMBARAZO A TERMINO CESAREA UTERINA PREVIA 2;NA;NA;3577;3754
11153;Term1;Diccionario;;EMBARAZO A TERMINO CESAREA UTERINA PREVIA 2 OLIGOHIDRAMNIOS MODERADO TRABAJO DE PARTO;NA;NA;3577;3755
11153;Term1;AplicaStandard0;;EMBARAZO A TERMINO CESAREA UTERINA PREVIA 2 OLIGOHIDRAMNIOS MODERADO TRABAJO DE PARTO;\b(CE[SZ]A?R[EI]A(DA)?)\b;CESAREA;3577;3755
11153;Term1;AplicaStandard0;;EMBARAZO A TERMINO CESAREA UTERINA PREVIA 2 OLIGOHIDRAMNIOS MODERADO TRABAJO DE PARTO;\bE[MN][BV]?[AO]RA[ZS]O\b;EMBARAZO;3577;3755
11153;Term1;AplicaStandard0;;EMBARAZO A TERMINO CESAREA UTERINA PREVIA 2 OLIGOHIDRAMNIOS MODERADO TRABAJO DE PARTO;\bA?OLIGO(HI[DF]R)?AMNIOS\b;OLIGOHIDRAMNIOS;3577;3755
11153;Term1;AplicaStandard0;;EMBARAZO A TERMINO CESAREA UTERINA PREVIA 2 OLIGOHIDRAMNIOS MODERADO TRABAJO DE PARTO;\bOLIGOH?IDRAMN?IO?S\b;OLIGOHIDRAMNIOS;3577;3755
11153;Term1;AplicaStandard0;;EMBARAZO A TERMINO CESAREA UTERINA PREVIA 2 OLIGOHIDRAMNIOS MODERADO TRABAJO DE PARTO;\bOLIGO(HIDR)?A(MN|M|N)IOS?\b;OLIGOHIDRAMNIOS;3577;3755
11153;Term1;ResultStandard0;;EMBARAZO A TERMINO CESAREA UTERINA PREVIA 2 OLIGOHIDRAMNIOS MODERADO TRABAJO DE PARTO;NA;NA;3577;3755
11153;Term1;AplicaStandard1;;EMBARAZO A TERMINO CESAREA UTERINA PREVIA 2 OLIGOHIDRAMNIOS MODERADO TRABAJO PARTO;\b\sANTE\s|\sCABE\s|\sDE\sDE\s|\sDE\s|\sDESDE\s|\sDURANTE\s|\sENTRE\s|\sHACIA\s|\sHASTA\s|\sMEDIANTE\s|\sPARA\s|\sSEGUN\s|\sSO\s|\sSOBRE\s|\sTRAS\s|\sVERSUS\s\b; ;3577;3755
11153;Term1;AplicaStandard1;;EMBARAZO TERMINO CESAREA UTERINA PREVIA 2 OLIGOHIDRAMNIOS MODERADO TRABAJO PARTO;\b\sA\s\b; ;3577;3755
11153;Term1;AplicaStandard1;;EMBARAZO TERMINO CESAREA UTERINA PREVIA 2 OLIGOHIDRAMNIOS  TRABAJO PARTO;\bRECIENTE|RESISTENTE|RECUR?RENTE|FULMINANTE|GLOBAL|PUNTO PARTIDA|NO (EFECTIVA|CONFIRMAD[OA]S?)|(DES)?COMPENSAD[OA]S?|(COMPLICAD|MODERAD)[OA]S?|RES(UELT[AO]S?|OLU[SC]ION)\b;;3577;3755
11153;Term1;ResultStandard1;;EMBARAZO TERMINO CESAREA UTERINA PREVIA 2 OLIGOHIDRAMNIOS  TRABAJO PARTO;NA;NA;3577;3755
11153;Term1;AplicaStandard2;;CESAREA UTERINA PREVIA 2 OLIGOHIDRAMNIOS  TRABAJO PARTO;\s?EMB(ARAZO)?)?\s?(DE|A|AL)?\s?(TERMINO)?\s?;;3577;3755
11153;Term1;AplicaStandard2;;CESAREA UTERINA PREVIA 2 OLIGOHIDRAMNIOS TRABAJO PARTO;\s\s; ;3577;3755
11153;Term1;ResultStandard2;;CESAREA UTERINA PREVIA 2 OLIGOHIDRAMNIOS TRABAJO PARTO;NA;NA;3577;3755
11137;Term1;Diccionario;;EMBARAZO A TERMINO CESAREA UTERINA PREVIA 2 PARIDAD SATISFECHA;NA;NA;3577;3756
11137;Term1;AplicaStandard0;;EMBARAZO A TERMINO CESAREA UTERINA PREVIA 2 PARIDAD SATISFECHA;\b(CE[SZ]A?R[EI]A(DA)?)\b;CESAREA;3577;3756
11137;Term1;AplicaStandard0;;EMBARAZO A TERMINO CESAREA UTERINA PREVIA 2 PARIDAD SATISFECHA;\bE[MN][BV]?[AO]RA[ZS]O\b;EMBARAZO;3577;3756
11137;Term1;ResultStandard0;;EMBARAZO A TERMINO CESAREA UTERINA PREVIA 2 PARIDAD SATISFECHA;NA;NA;3577;3756
11137;Term1;AplicaStandard1;;EMBARAZO TERMINO CESAREA UTERINA PREVIA 2 PARIDAD SATISFECHA;\b\sA\s\b; ;3577;3756
11137;Term1;ResultStandard1;;EMBARAZO TERMINO CESAREA UTERINA PREVIA 2 PARIDAD SATISFECHA;NA;NA;3577;3756
11137;Term1;AplicaStandard2;;CESAREA UTERINA PREVIA 2 PARIDAD SATISFECHA;\s?EMB(ARAZO)?)?\s?(DE|A|AL)?\s?(TERMINO)?\s?;;3577;3756
11137;Term1;ResultStandard2;;CESAREA UTERINA PREVIA 2 PARIDAD SATISFECHA;NA;NA;3577;3756
11154;Term1;Diccionario;;EMBARAZO A TERMINO CESAREA UTERINA PREVIA OLIGOHIDRAMNIOS SEVERO;NA;NA;3577;3757
11154;Term1;AplicaStandard0;;EMBARAZO A TERMINO CESAREA UTERINA PREVIA OLIGOHIDRAMNIOS SEVERO;\b(CE[SZ]A?R[EI]A(DA)?)\b;CESAREA;3577;3757
11154;Term1;AplicaStandard0;;EMBARAZO A TERMINO CESAREA UTERINA PREVIA OLIGOHIDRAMNIOS SEVERO;\bE[MN][BV]?[AO]RA[ZS]O\b;EMBARAZO;3577;3757
11154;Term1;AplicaStandard0;;EMBARAZO A TERMINO CESAREA UTERINA PREVIA OLIGOHIDRAMNIOS SEVERO;\bA?OLIGO(HI[DF]R)?AMNIOS\b;OLIGOHIDRAMNIOS;3577;3757
11154;Term1;AplicaStandard0;;EMBARAZO A TERMINO CESAREA UTERINA PREVIA OLIGOHIDRAMNIOS SEVERO;\bOLIGOH?IDRAMN?IO?S\b;OLIGOHIDRAMNIOS;3577;3757
11154;Term1;AplicaStandard0;;EMBARAZO A TERMINO CESAREA UTERINA PREVIA OLIGOHIDRAMNIOS SEVERO;\bOLIGO(HIDR)?A(MN|M|N)IOS?\b;OLIGOHIDRAMNIOS;3577;3757
11154;Term1;ResultStandard0;;EMBARAZO A TERMINO CESAREA UTERINA PREVIA OLIGOHIDRAMNIOS SEVERO;NA;NA;3577;3757
11154;Term1;AplicaStandard1;;EMBARAZO TERMINO CESAREA UTERINA PREVIA OLIGOHIDRAMNIOS SEVERO;\b\sA\s\b; ;3577;3757
11154;Term1;ResultStandard1;;EMBARAZO TERMINO CESAREA UTERINA PREVIA OLIGOHIDRAMNIOS SEVERO;NA;NA;3577;3757
11154;Term1;AplicaStandard2;;EMBARAZO TERMINO CESAREA UTERINA PREVIA OLIGOHIDRAMNIOS;\b([SC]EVER)[AO]S?\b;;3577;3757
11154;Term1;AplicaStandard2;;CESAREA UTERINA PREVIA OLIGOHIDRAMNIOS;\s?EMB(ARAZO)?)?\s?(DE|A|AL)?\s?(TERMINO)?\s?;;3577;3757
11154;Term1;ResultStandard2;;CESAREA UTERINA PREVIA OLIGOHIDRAMNIOS;NA;NA;3577;3757
11140;Term1;Diccionario;;EMBARAZO A TERMINO CESAREA UTERINA PREVIA1;NA;NA;3577;3758
11140;Term1;AplicaStandard0;;EMBARAZO A TERMINO CESAREA UTERINA PREVIA1;\b(CE[SZ]A?R[EI]A(DA)?)\b;CESAREA;3577;3758
11140;Term1;AplicaStandard0;;EMBARAZO A TERMINO CESAREA UTERINA PREVIA1;\bE[MN][BV]?[AO]RA[ZS]O\b;EMBARAZO;3577;3758
11140;Term1;ResultStandard0;;EMBARAZO A TERMINO CESAREA UTERINA PREVIA1;NA;NA;3577;3758
11140;Term1;AplicaStandard1;;EMBARAZO TERMINO CESAREA UTERINA PREVIA1;\b\sA\s\b; ;3577;3758
11140;Term1;ResultStandard1;;EMBARAZO TERMINO CESAREA UTERINA PREVIA1;NA;NA;3577;3758
11140;Term1;AplicaStandard2;;CESAREA UTERINA PREVIA1;\s?EMB(ARAZO)?)?\s?(DE|A|AL)?\s?(TERMINO)?\s?;;3577;3758
11140;Term1;ResultStandard2;;CESAREA UTERINA PREVIA1;NA;NA;3577;3758
11116;Term1;Diccionario;;EMBARAZO A TERMINO CESAREA UTERINA PREVIA1 OLIGOHIDRAMNIOS SEVERO;NA;NA;3577;3759
11116;Term1;AplicaStandard0;;EMBARAZO A TERMINO CESAREA UTERINA PREVIA1 OLIGOHIDRAMNIOS SEVERO;\b(CE[SZ]A?R[EI]A(DA)?)\b;CESAREA;3577;3759
11116;Term1;AplicaStandard0;;EMBARAZO A TERMINO CESAREA UTERINA PREVIA1 OLIGOHIDRAMNIOS SEVERO;\bE[MN][BV]?[AO]RA[ZS]O\b;EMBARAZO;3577;3759
11116;Term1;AplicaStandard0;;EMBARAZO A TERMINO CESAREA UTERINA PREVIA1 OLIGOHIDRAMNIOS SEVERO;\bA?OLIGO(HI[DF]R)?AMNIOS\b;OLIGOHIDRAMNIOS;3577;3759
11116;Term1;AplicaStandard0;;EMBARAZO A TERMINO CESAREA UTERINA PREVIA1 OLIGOHIDRAMNIOS SEVERO;\bOLIGOH?IDRAMN?IO?S\b;OLIGOHIDRAMNIOS;3577;3759
11116;Term1;AplicaStandard0;;EMBARAZO A TERMINO CESAREA UTERINA PREVIA1 OLIGOHIDRAMNIOS SEVERO;\bOLIGO(HIDR)?A(MN|M|N)IOS?\b;OLIGOHIDRAMNIOS;3577;3759
11116;Term1;ResultStandard0;;EMBARAZO A TERMINO CESAREA UTERINA PREVIA1 OLIGOHIDRAMNIOS SEVERO;NA;NA;3577;3759
11116;Term1;AplicaStandard1;;EMBARAZO TERMINO CESAREA UTERINA PREVIA1 OLIGOHIDRAMNIOS SEVERO;\b\sA\s\b; ;3577;3759
11116;Term1;ResultStandard1;;EMBARAZO TERMINO CESAREA UTERINA PREVIA1 OLIGOHIDRAMNIOS SEVERO;NA;NA;3577;3759
11116;Term1;AplicaStandard2;;EMBARAZO TERMINO CESAREA UTERINA PREVIA1 OLIGOHIDRAMNIOS;\b([SC]EVER)[AO]S?\b;;3577;3759
11116;Term1;AplicaStandard2;;CESAREA UTERINA PREVIA1 OLIGOHIDRAMNIOS;\s?EMB(ARAZO)?)?\s?(DE|A|AL)?\s?(TERMINO)?\s?;;3577;3759
11116;Term1;ResultStandard2;;CESAREA UTERINA PREVIA1 OLIGOHIDRAMNIOS;NA;NA;3577;3759
11118;Term1;Diccionario;;EMBARAZO A TERMINO CESAREA UTERINA PREVIA1 PARIDAD SATISFECHA;NA;NA;3577;3760
11118;Term1;AplicaStandard0;;EMBARAZO A TERMINO CESAREA UTERINA PREVIA1 PARIDAD SATISFECHA;\b(CE[SZ]A?R[EI]A(DA)?)\b;CESAREA;3577;3760
11118;Term1;AplicaStandard0;;EMBARAZO A TERMINO CESAREA UTERINA PREVIA1 PARIDAD SATISFECHA;\bE[MN][BV]?[AO]RA[ZS]O\b;EMBARAZO;3577;3760
11118;Term1;ResultStandard0;;EMBARAZO A TERMINO CESAREA UTERINA PREVIA1 PARIDAD SATISFECHA;NA;NA;3577;3760
11118;Term1;AplicaStandard1;;EMBARAZO TERMINO CESAREA UTERINA PREVIA1 PARIDAD SATISFECHA;\b\sA\s\b; ;3577;3760
11118;Term1;ResultStandard1;;EMBARAZO TERMINO CESAREA UTERINA PREVIA1 PARIDAD SATISFECHA;NA;NA;3577;3760
11118;Term1;AplicaStandard2;;CESAREA UTERINA PREVIA1 PARIDAD SATISFECHA;\s?EMB(ARAZO)?)?\s?(DE|A|AL)?\s?(TERMINO)?\s?;;3577;3760
11118;Term1;ResultStandard2;;CESAREA UTERINA PREVIA1 PARIDAD SATISFECHA;NA;NA;3577;3760
11135;Term1;Diccionario;;EMBARAZO A TERMINO CESAREA UTERINA PREVIA1 TAQUICARDIA FETAL;NA;NA;3577;3761
11135;Term1;AplicaStandard0;;EMBARAZO A TERMINO CESAREA UTERINA PREVIA1 TAQUICARDIA FETAL;\b(CE[SZ]A?R[EI]A(DA)?)\b;CESAREA;3577;3761
